"","ID","factor","taxa","tips","node","clade","other"
"35","cites_cov",15,"CALLITRICHIDAE, CEBIDAE",2,176,2717.5000000001,270764.666666681
"36","cites_cov",16,"CALLITRICHIDAE",1,75,5267.99999999999,167.000000000003
"37","cites_fla",1,"Rattus, Mus, Praomys, Mastomys, Apodemus, Aethomys, Thallomys, Arvicanthis, Dasymys, Golunda, Millardia, Vandeleuria",19,684,299685.578947338,9702.13536249078
"38","cites_fla",2,"Tragelaphus, Bos, Bison, Bubalus, Syncerus",13,431,93759.4615384611,6571.06017758143
"39","cites_fla",3,"Ovis, Capra, Oreamnos, Rupicapra, Ammotragus",10,454,55492.9000000018,5127.93805383739
"40","cites_fla",4,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, NOCTILIONIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",75,496,69.9466666666734,6564.86742425765
"41","cites_fla",5,"PITHECIIDAE, CALLITRICHIDAE, CEBIDAE, AOTIDAE, ATELIDAE",30,583,539.299999999979,7337.3760683799
"42","cites_fla",6,"BOVIDAE",20,429,53.6999999999777,8018.09345794479
"43","cites_fla",7,"GLIRIDAE, SCIURIDAE",22,644,435.500000000015,8886.93229166677
"44","cites_fla",8,"TALPIDAE, SORICIDAE, ERINACEIDAE, CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HERPESTIDAE, FELIDAE, EQUIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, DELPHINIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, GALAGIDAE, LORISIDAE, INDRIIDAE, LEMURIDAE, LEPILEMURIDAE, HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE, OCHOTONIDAE, LEPORIDAE, CTENODACTYLIDAE, HYSTRICIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, ECHIMYIDAE, DIPODIDAE, CRICETIDAE, MURIDAE, HETEROMYIDAE, GEOMYIDAE",172,384,9876.83720930243,373.750000000012
"45","cites_fla",9,"Arvicola, Microtus, Myodes, Alticola",14,706,206.571428571403,10733.6964307108
"46","cites_fla",10,"CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE",19,478,1310.89473684212,12021.7051543758
"47","cites_fla",11,"Neotoma, Reithrodontomys, Onychomys, Peromyscus, Sigmodon, Akodon, Hylaeamys, Oligoryzomys, Oryzomys, Calomys",13,721,508.69230769231,13209.5555979249
"48","cites_fla",12,"OCHOTONIDAE, LEPORIDAE, CTENODACTYLIDAE, HYSTRICIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, ECHIMYIDAE, DIPODIDAE, CRICETIDAE, Tatera, Gerbillus, Sekeetamys, Meriones, Lophuromys, Acomys, HETEROMYIDAE, GEOMYIDAE",36,641,22493.9166819623,9495.81111997402
"49","cites_fla",13,"HERPESTIDAE, FELIDAE, EQUIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, DELPHINIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE",39,396,15266.1282068543,5083.21568650092
"50","cites_fla",14,"Macaca, Papio, Mandrillus, Cercocebus, Lophocebus, Cercopithecus, Erythrocebus, Chlorocebus",21,621,11568.1428571428,543.766666671506
"51","cites_fla",15,"DIPODIDAE, CRICETIDAE, MURIDAE, HETEROMYIDAE, GEOMYIDAE",18,673,16312.8888889713,28674.9445282303
"52","cites_fla",16,"CAMELIDAE, TAYASSUIDAE, SUIDAE, DELPHINIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE",27,402,12270.6666666666,22005.9166666666
"53","cites_fla",17,"CERVIDAE",14,416,20240.9289512046,3687.30769230768
"54","cites_fla",18,"CALLITRICHIDAE, CEBIDAE, AOTIDAE",18,586,820.611111438528,117.333333333334
"55","cites_fla",19,"GALAGIDAE, LORISIDAE, INDRIIDAE, LEMURIDAE, LEPILEMURIDAE",11,572,117.545454545455,790.526315790109
"56","cites_fla",20,"ELEPHANTIDAE, DASYPODIDAE, MYRMECOPHAGIDAE, CYCLOPEDIDAE, MEGALONYCHIDAE, BRADYPODIDAE",10,744,515.000000144553,232.500000000889
"57","cites_rha",1,"LEPORIDAE, SCIURIDAE, CUNICULIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, ECHIMYIDAE, MYOCASTORIDAE, CRICETIDAE, MURIDAE, HETEROMYIDAE, CASTORIDAE",38,548,208752.184210521,7694.62312106885
"58","cites_rha",2,"SCIURIDAE",10,551,215.000000000096,283229.750073882
"59","cites_rha",3,"CANIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",108,303,18274.7870370367,177.138157894732
"60","cites_rha",4,"CERVIDAE, BOVIDAE",24,313,46171.2916666663,10304.3571428571
"61","cites_rha",5,"Lycaon, Chrysocyon, Canis, Pseudalopex, Speothos, Cerdocyon",11,375,32978.0909886124,6887.76714921316
"62","cites_rha",6,"Puma, Acinonyx, Lynx, Leopardus, Otocolobus, Felis",10,352,31311.1999999993,3011.03174612628
"63","cites_rha",7,"CRICETIDAE, MURIDAE, HETEROMYIDAE, Castor",17,566,229069.588274289,366931.818238741
"64","cites_rha",8,"CERVIDAE",10,314,28152.9000060634,59041.5714286597
"65","cites_rha",9,"CANIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE",37,363,1314.27027027027,5425.65384620753
"66","cites_rha",10,"HYAENIDAE, HERPESTIDAE, VIVERRIDAE",12,338,93.083333333335,9996.42859946501
"67","cites_rha",11,"RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",130,410,95.9000000000038,657.181818181833
"68","cites_rha",12,"MUSTELIDAE",11,397,2665.9090909187,742.423076980656
"69","cites_rha",13,"MEPHITIDAE, PROCYONIDAE",10,390,402.300000000004,955.000000073019
"70","cites_rha",14,"Micronycteris, Lonchorhina, Glossophaga, Leptonycteris, Anoura, Lonchophylla, Artibeus, Dermanura, Vampyrodes, Platyrrhinus, Uroderma, Sturnira, Carollia, Trachops, Phyllostomus, Lophostoma, Chrotopterus",26,496,40.230769230769,109.817307692311
"71","cites_rha",15,"MOLOSSIDAE, VESPERTILIONIDAE",75,418,73.8266666666666,202.896551724277
"72","cites_rha",16,"MORMOOPIDAE, PHYLLOSTOMIDAE, NYCTERIDAE, EMBALLONURIDAE",13,411,357.153846155591,77.5625000000002
"73","cites_rha",17,"Nyctinomops, Molossops, Cynomops, Molossus, Eumops",12,422,28.0833333504412,82.5396825580733
"74","cites_rha",18,"Myotis riparius, Myotis grisescens, Myotis austroriparius, Myotis yumanensis, Myotis velifer, Myotis albescens, Myotis chiloensis, Myotis nigricans, Myotis levis, Myotis volans, Myotis septentrionalis, Myotis ciliolabrum, Myotis leibii, Myotis californicus, Myotis lucifugus, Myotis keenii, Myotis evotis, Myotis thysanodes",18,470,38.6666666769811,100.088888893556
"75","cites_rha",19,"Nycticeius, Scotophilus, Corynorhinus, Euderma, Plecotus, Barbastella, Antrozous, Lasiurus, Parastrellus, Pipistrellus, Nyctalus, Vespertilio, Philetor, Eptesicus, Histiotus, Lasionycteris",34,435,70.5882352941316,191.272727283071
"76","cites_rha",20,"Artibeus, Dermanura, Vampyrodes, Platyrrhinus, Uroderma, Sturnira, Carollia",11,505,66.0909090909091,21.2666666666667
"77","cites_tog",1,"Rattus, Hydromys, Pseudomys, Mus, Mastomys, Apodemus",10,272,569208.299999986,5895.1383649875
"78","cites_tog",2,"CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, URSIDAE, FELIDAE, EQUIDAE, TAPIRIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, CERVIDAE, BOVIDAE",24,174,29432.8333335138,1710.65932104025
"79","cites_tog",3,"HOMINIDAE, CERCOPITHECIDAE",13,238,14306.7692307691,368.45082189412
"80","cites_tog",4,"CAMELIDAE, TAYASSUIDAE, SUIDAE, CERVIDAE, BOVIDAE",10,179,45471.1000000336,17976.9285714386
"81","cites_tog",5,"CRICETIDAE",18,281,1664.88888889778,144.067307692308
"82","cites_tog",6,"DIDELPHIDAE, THYLACOMYIDAE, PERAMELIDAE, DASYURIDAE, PHASCOLARCTIDAE, VOMBATIDAE, PHALANGERIDAE, MACROPODIDAE, POTOROIDAE, PSEUDOCHEIRIDAE, PETAURIDAE",32,307,229.093750004669,106.277777777782
"83","cites_tog",7,"SCIURIDAE",12,253,186.416666672606,90.2499999999994
"84","cites_tog",8,"CUNICULIDAE, DASYPROCTIDAE, ERETHIZONTIDAE, ECHIMYIDAE, HETEROMYIDAE, GEOMYIDAE",11,251,20.9090925727455,105.816326679244
"85","cites_tog",9,"Glossophaga, Artibeus, Dermanura, Platyrrhinus, Uroderma, Sturnira, Carollia, Trachops, Phyllostomus",18,210,59.8333333737466,132.516129065611
"86","cites_tog",10,"PHASCOLARCTIDAE, VOMBATIDAE, PHALANGERIDAE, MACROPODIDAE, POTOROIDAE, PSEUDOCHEIRIDAE, PETAURIDAE",20,319,250.650000002292,193.166666678869
"87","cites_tog",11,"PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",12,198,160.166666666666,115.052631578947
"88","cites_tog",12,"Rattus",4,273,912633.000000001,340258.500000119
"89","cites_tog",13,"Rattus rattus",1,127,1825418,608371.333341349
"90","cites_tog",14,"Rattus norvegicus",1,126,1825096,9.00000000061857
"91","cites_par",1,"RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, VESPERTILIONIDAE",35,56,419.285714287397,252386.636363637
